id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1489424,"Welcoming, easygoing, comfy bed, entire level",5294164,Efrat,,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,248,2024-02-27,1.94,1,233,50,
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,,THIRD WARD,42.65789,-73.7537,Entire home/apt,70,28,9,2022-08-17,0.08,1,21,0,
3820211,Restored Precinct in Center Sq. w/Parking,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,125,2,292,2024-02-18,2.51,4,360,8,
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,,SECOND WARD,42.64615,-73.75966,Entire home/apt,105,7,337,2024-03-07,3.13,2,79,31,
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,Terra,,SIXTH WARD,42.65222,-73.76724,Entire home/apt,126,2,306,2023-12-26,2.87,4,0,5,
7563949,Rest or work in peace | Garden | Wifi | Kitchen,39656001,Urbangem,,SECOND WARD,42.64484,-73.75851,Private room,190,1,37,2023-02-19,0.40,6,365,0,
8035768,Entire Beautiful French Victorian 1884,42430824,John M,,TENTH WARD,42.66088,-73.78147,Entire home/apt,,2,56,2024-01-28,0.54,2,365,4,
8035784,Delightful French Victorian,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,2020-07-25,0.18,2,179,0,
8915877,"Charming 1BR State Capitol, downtwn",46312980,Robert,,SECOND WARD,42.64603,-73.75986,Entire home/apt,85,3,227,2024-02-23,2.22,1,311,3,
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,,SIXTH WARD,42.65559,-73.76506,Entire home/apt,87,1,580,2024-02-25,6.27,1,0,39,
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,,SECOND WARD,42.64734,-73.75851,Private room,61,2,370,2024-03-07,3.75,2,138,39,
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,631,2024-02-29,6.40,2,112,98,
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,243,1,145,2024-02-25,1.53,9,0,23,
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Adam,,ELEVENTH WARD,42.67583,-73.78297,Private room,55,1,231,2024-02-29,2.44,2,363,16,
12284708,"Well Lit Modern Room, Perfect Location Albany",36438637,Chad,,TENTH WARD,42.65912,-73.78349,Private room,45,10,61,2019-10-26,0.64,4,282,0,
12799126,Private Room in the Hearth of the Albany,69729286,Musab,,SIXTH WARD,42.65154,-73.76867,Private room,50,5,28,2024-02-06,0.65,2,364,7,
13083497,Pristine Cape Cod on the Creek! 4 Large Bedrooms,1364123,Akhilesh,,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,174,2024-01-06,1.86,1,299,14,
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,,TENTH WARD,42.65726,-73.78219,Private room,45,10,48,2024-01-07,0.52,4,313,3,
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,Peter,,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,333,1,85,2024-01-28,0.95,9,355,22,
15580397,Albany Med/Dwtn Albany/Colleges/BLUE RM/ Share,89705052,Share,,NINTH WARD,42.65651,-73.77887,Private room,56,2,40,2024-03-08,0.48,4,112,8,
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,70,1,353,2024-02-29,7.65,2,295,115,
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Adam,,FIFTH WARD,42.67614,-73.78169,Private room,53,3,130,2023-09-11,1.55,2,365,2,
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,,TENTH WARD,42.6584,-73.78309,Private room,45,10,53,2024-01-30,0.62,4,342,6,
17552120,Comfy space in lovely home (Master/Lilac Bedroom),20738797,Aaron,,FOURTEENTH WARD,42.65729,-73.80321,Private room,62,1,33,2024-03-01,0.40,1,26,2,
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,Peter,,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,306,1,57,2022-06-26,0.78,9,365,0,
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,,NINTH WARD,42.65312,-73.78161,Private room,70,1,71,2023-10-22,1.08,3,242,19,
19571496,Modern Studio Perfect Location Albany,36438637,Chad,,TENTH WARD,42.6585,-73.78414,Private room,50,14,27,2024-02-17,0.39,4,365,3,
19663012,Garden Facing Room | Wifi | Shared Kitchen,39656001,Urbangem,,SECOND WARD,42.6436,-73.75887,Private room,169,1,17,2021-08-28,0.21,6,179,0,
20138691,Sparkling Clean Room In A Lovely Home In Albany,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,19,2020-07-03,0.26,6,313,0,
20212108,A Peaceful suite 10ppl w/Yard Near Mansion and MVP,39656001,Urbangem,,SECOND WARD,42.64355,-73.75712,Private room,249,2,5,2023-01-28,0.09,6,179,0,
20518708,KingBedMemory Foam W/TV Desk&AC LovelyHomeInAlbany,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,12,2020-03-04,0.20,6,313,0,
20519453,PeaceAndTranquility QueenBedTvAcDesk BigCloset,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,16,2020-04-24,0.22,6,313,0,
20519722,QueenBedW/TVDeskAC SuperCleanAndQuietIn Albany,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,80,4,8,2020-08-12,0.12,6,313,0,
20519807,AllThe ComfortsOfHome TVDeskAC inThisLovelyHome,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Private room,60,4,32,2020-07-08,0.44,6,70,0,
20519885,30%OffMonthlyStays FamilyOrBusiness InCity,67171774,Michael And Flerida,,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,,4,92,2024-02-20,1.19,6,311,20,
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,196,1,55,2022-12-31,0.71,9,254,0,
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,126,2,130,2023-05-28,1.79,2,298,1,
20671966,The Metropolitan,98744672,Bela,,NINTH WARD,42.65532,-73.78244,Entire home/apt,85,2,39,2023-06-01,0.49,8,212,1,
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,10,40,2023-12-08,0.58,3,338,5,
